Order ID	Job ID	Job Name	Job Description	Imprints
13465	790	Mulvania St Pat's Shirts	Ash Gray Hanes Nano Tees. Digital print on front and back.	Direct To Garment,Front,Back
13602	797	Kristina's Lab Shirts	Light Blue t-shirts with digital print on front and back.	Direct To Garment,Front,Back
13604	798	Bee Embroidery	Navy 1/4 zip Jerzee pullovers with embroidery on left chest.	Embroidery
13632	800	A&N Apothecary	White Gildan T-shirts with digital print on front.	Direct To Garment,Front
13657	804	IU Law Sweater Vests	Men's and women's red sweater vests with embroidery on left chest.	Embroidery
13670	808	Emily Preston Rahim	Royal blue shirts with a one color front and two color back.	Screen Print,1-C,Front	Screen Print,2-C,Back
13672	809	Greisshammer Bags	Navy Ultraclub 8881 Sport Packs with a one color print on front.	Screen Print,1-C,Front
13675	810	Fitness 24 Shirts, Aaron	White shirts with digital print on front and back	Direct To Garment,Front,Back
13745	821	North Campus Service Day	Orange shirts with a two color print on front.	Screen Print,2-C,Front
13758	825	Mercer IFC Embroidery	Butter Yellow Oxfords with embroidery over pocket.	Embroidery
13898	835	Solo Aviation Team Tees	2-Color Front, 1-Color Back	Screen Print,2-C,Front	Screen Print,1-C,Back
13904	836	Michigan Winning	1CF, Navy Tees	Screen Print,1-C,Front
13906	837	Black Tees	25 shirts - 2color front (white, red) - 1 color back (white)	Screen Print,1-C,Back
13913	840	Japan Fundraiser Tees	1CF/1CB	Screen Print,1-C,Front	Screen Print,1-C,Back
13925	844	Black Tees	4 color front - 1 color back	Screen Print,4-C,Front	Screen Print,1-C,Back
13972	851	One Campaign Food Fight	2-Color Front, 1-color back	Screen Print,2-C,Front	Screen Print,1-C,Back
13990	852	Hellbilly Motorcycles	3CF , 3CB (White, Red, Brown)	Screen Print,3-C,Front	Screen Print,3-C,Back
14048	857	Japan Fundraiser Tees	1-CF/1-CB	Screen Print,1-C,Front	Screen Print,1-C,Back
14254	864	Tall Tee for Eric	Digital print on XL white tall tee.	Direct To Garment,Front
14305	871	Comco	White and black long sleeve raglan shirts by Canvas. Digital print on front and back (unique names and numbers on back).	Direct To Garment,Front,Back
